iter	Passed	Remaining
400	18868	28184
401	18920	28144
402	18979	28115
403	19036	28082
404	19089	28044
405	19137	27999
406	19192	27963
407	19237	27912
408	19297	27885
409	19355	27853
410	19414	27822
411	19465	27780
412	19511	27731
413	19549	27671
414	19587	27611
415	19628	27555
416	19662	27489
417	19694	27422
418	19737	27368
419	19789	27328
420	19833	27276
421	19874	27221
422	19924	27178
423	19958	27113
424	20017	27082
425	20057	27025
426	20100	26972
427	20142	26919
428	20184	26864
429	20230	26816
430	20278	26771
431	20326	26725
432	20372	26676
433	20424	26636
434	20474	26593
435	20523	26548
436	20568	26499
437	20616	26452
438	20662	26405
439	20707	26354
440	20758	26312
441	20808	26269
442	20859	26227
443	20907	26181
444	20954	26134
445	21007	26094
446	21053	26045
447	21093	25990
448	21138	25940
449	21189	25898
450	21239	25854
451	21283	25804
452	21317	25740
453	21357	25685
454	21407	25642
455	21456	25596
456	21505	25552
457	21557	25510
458	21610	25470
459	21661	25429
460	21701	25373
461	21757	25337
462	21803	25288
463	21853	25244
464	21907	25204
465	21945	25148
466	21979	25085
467	22023	25035
468	22067	24985
469	22120	24944
470	22171	24902
471	22213	24848
472	22251	24792
473	22297	24743
474	22352	24704
475	22400	24659
476	22436	24600
477	22480	24550
478	22537	24513
479	22589	24471
480	22624	24412
481	22680	24374
482	22735	24335
483	22786	24293
484	22844	24257
485	22892	24210
486	22938	24163
487	22982	24113
488	23041	24077
489	23093	24036
490	23139	23987
491	23181	23935
492	23223	23883
493	23265	23831
494	23317	23788
495	23363	23739
496	23404	23687
497	23456	23644
498	23508	23602
499	23549	23549
500	23590	23496
501	23637	23448
502	23681	23399
503	23723	23346
504	23770	23299
505	23820	23255
506	23870	23211
507	23932	23178
508	23987	23139
509	24049	23106
510	24108	23070
511	24162	23029
512	24207	22980
513	24265	22943
514	24317	22900
515	24379	22867
516	24420	22814
517	24470	22769
518	24523	22727
519	24568	22678
520	24604	22620
521	24643	22566
522	24686	22515
523	24732	22466
524	24782	22422
525	24817	22364
526	24869	22320
527	24918	22276
528	24959	22223
529	25010	22179
530	25062	22135
531	25118	22097
532	25167	22050
533	25203	21993
534	25253	21949
535	25311	21911
536	25372	21876
537	25418	21828
538	25468	21782
539	25518	21737
540	25570	21694
541	25615	21645
542	25672	21606
543	25729	21567
544	25776	21519
545	25818	21468
546	25866	21421
547	25919	21378
548	25965	21330
549	26011	21282
550	26056	21233
551	26094	21177
552	26138	21128
553	26185	21081
554	26225	21027
555	26264	20974
556	26313	20928
557	26352	20874
558	26403	20829
559	26451	20783
560	26498	20736
561	26541	20685
562	26590	20639
563	26638	20593
564	26684	20544
565	26728	20495
566	26781	20452
567	26827	20404
568	26880	20361
569	26934	20318
570	26986	20275
571	27036	20229
572	27092	20189
573	27147	20147
574	27201	20105
575	27247	20057
576	27295	20010
577	27354	19971
578	27393	19917
579	27438	19869
580	27476	19815
581	27525	19768
582	27568	19718
583	27608	19666
584	27664	19625
585	27707	19574
586	27758	19529
587	27793	19474
588	27837	19425
589	27884	19377
590	27932	19330
591	27980	19283
592	28028	19236
593	28080	19193
594	28134	19150
595	28175	19098
596	28222	19051
597	28276	19008
598	28324	18962
599	28368	18912
600	28408	18860
601	28462	18817
602	28514	18773
603	28557	18723
604	28610	18679
605	28669	18640
606	28713	18590
607	28759	18542
608	28796	18488
609	28836	18436
610	28872	18382
611	28917	18333
612	28960	18283
613	29007	18236
614	29058	18191
615	29104	18142
616	29144	18091
617	29185	18040
618	29228	17990
619	29272	17941
620	29311	17889
621	29368	17847
622	29410	17797
623	29450	17745
624	29497	17698
625	29545	17651
626	29598	17607
627	29647	17561
628	29694	17514
629	29748	17471
630	29800	17426
631	29851	17382
632	29895	17332
633	29939	17283
634	29988	17237
635	30045	17195
636	30089	17146
637	30128	17094
638	30167	17043
639	30212	16994
640	30265	16950
641	30318	16906
642	30373	16863
643	30418	16815
644	30472	16771
645	30511	16719
646	30548	16667
647	30593	16618
648	30650	16576
649	30694	16527
650	30745	16482
651	30802	16440
652	30860	16399
653	30912	16354
654	30960	16307
655	31010	16261
656	31063	16217
657	31109	16169
658	31144	16115
659	31187	16066
660	31226	16014
661	31271	15966
662	31312	15915
663	31365	15871
664	31407	15821
665	31454	15774
666	31490	15721
667	31543	15677
668	31594	15632
669	31657	15592
670	31702	15544
671	31747	15495
672	31803	15452
673	31861	15410
674	31911	15364
675	31971	15323
676	32031	15282
677	32089	15240
678	32146	15197
679	32193	15149
680	32237	15100
681	32281	15052
682	32333	15007
683	32378	14958
684	32417	14907
685	32458	14857
686	32499	14806
687	32535	14754
688	32567	14700
689	32609	14650
690	32656	14603
691	32705	14556
692	32751	14508
693	32788	14457
694	32825	14405
695	32874	14359
696	32914	14308
697	32963	14262
698	33007	14213
699	33056	14167
700	33112	14123
701	33172	14081
702	33234	14040
703	33285	13995
704	33339	13950
705	33389	13904
706	33439	13858
707	33486	13810
708	33533	13763
709	33573	13713
710	33613	13662
711	33648	13610
712	33698	13564
713	33754	13520
714	33803	13474
715	33842	13423
716	33893	13377
717	33942	13331
718	33997	13286
719	34053	13242
720	34107	13198
721	34158	13152
722	34200	13103
723	34249	13056
724	34297	13009
725	34353	12965
726	34410	12921
727	34448	12870
728	34499	12824
729	34544	12776
730	34603	12733
731	34655	12688
732	34695	12637
733	34737	12588
734	34792	12544
735	34845	12499
736	34880	12447
737	34920	12397
738	34965	12349
739	35014	12302
740	35069	12257
741	35113	12209
742	35154	12159
743	35193	12109
744	35228	12058
745	35281	12012
746	35325	11964
747	35377	11918
748	35432	11873
749	35489	11829
750	35534	11781
751	35586	11736
752	35644	11692
753	35700	11647
754	35760	11604
755	35826	11563
756	35889	11520
757	35937	11473
758	35983	11425
759	36024	11376
760	36059	11324
761	36108	11277
762	36145	11227
763	36193	11180
764	36245	11134
765	36279	11082
766	36315	11031
767	36361	10984
768	36409	10937
769	36463	10891
770	36515	10845
771	36560	10797
772	36602	10748
773	36646	10700
774	36684	10650
775	36730	10602
776	36776	10554
777	36819	10506
778	36853	10455
779	36900	10407
780	36951	10361
781	37011	10317
782	37076	10275
783	37132	10230
784	37195	10187
785	37234	10137
786	37288	10092
787	37327	10042
788	37360	9991
789	37411	9944
790	37454	9896
791	37501	9848
792	37553	9802
793	37595	9753
794	37636	9705
795	37670	9654
796	37709	9604
797	37749	9555
798	37800	9509
799	37852	9463
800	37886	9412
801	37964	9372
802	38022	9328
803	38071	9281
804	38132	9236
805	38183	9190
806	38224	9141
807	38281	9096
808	38346	9053
809	38386	9004
810	38428	8955
811	38469	8906
812	38508	8857
813	38545	8807
814	38599	8761
815	38638	8712
816	38684	8664
817	38731	8617
818	38782	8570
819	38819	8521
820	38863	8473
821	38900	8423
822	38937	8374
823	38974	8324
824	39024	8277
825	39077	8231
826	39119	8183
827	39172	8137
828	39227	8091
829	39281	8045
830	39336	7999
831	39388	7953
832	39430	7905
833	39476	7857
834	39531	7811
835	39583	7765
836	39625	7716
837	39676	7670
838	39729	7623
839	39771	7575
840	39816	7527
841	39860	7479
842	39904	7431
843	39952	7384
844	39990	7335
845	40041	7288
846	40081	7240
847	40117	7190
848	40163	7143
849	40215	7096
850	40263	7049
851	40308	7002
852	40354	6954
853	40414	6909
854	40460	6861
855	40503	6813
856	40541	6764
857	40598	6719
858	40649	6672
859	40689	6623
860	40734	6576
861	40778	6528
862	40817	6479
863	40867	6432
864	40918	6386
865	40970	6339
866	41032	6294
867	41090	6248
868	41143	6202
869	41191	6155
870	41237	6107
871	41290	6060
872	41333	6013
873	41381	5965
874	41413	5916
875	41458	5868
876	41494	5819
877	41543	5772
878	41600	5726
879	41654	5680
880	41707	5633
881	41744	5584
882	41790	5537
883	41839	5490
884	41883	5442
885	41935	5395
886	41986	5348
887	42041	5302
888	42094	5255
889	42141	5208
890	42194	5161
891	42249	5115
892	42312	5069
893	42372	5023
894	42415	4976
895	42460	4928
896	42512	4881
897	42567	4835
898	42617	4787
899	42661	4740
900	42712	4693
901	42753	4645
902	42788	4596
903	42844	4549
904	42888	4502
905	42950	4456
906	43007	4409
907	43058	4362
908	43108	4315
909	43143	4266
910	43180	4218
911	43224	4170
912	43272	4123
913	43314	4075
914	43350	4027
915	43395	3979
916	43453	3933
917	43510	3886
918	43561	3839
919	43615	3792
920	43656	3744
921	43689	3696
922	43728	3647
923	43774	3600
924	43826	3553
925	43874	3506
926	43926	3459
927	43973	3411
928	44008	3363
929	44055	3315
930	44091	3267
931	44131	3219
932	44170	3171
933	44226	3125
934	44263	3077
935	44303	3029
936	44353	2982
937	44395	2934
938	44433	2886
939	44486	2839
940	44530	2792
941	44569	2744
942	44618	2696
943	44656	2649
944	44693	2601
945	44753	2554
946	44804	2507
947	44859	2460
948	44921	2414
949	44987	2367
950	45040	2320
951	45092	2273
952	45140	2226
953	45189	2178
954	45244	2131
955	45299	2084
956	45355	2037
957	45395	1990
958	45442	1942
959	45481	1895
960	45527	1847
961	45568	1799
962	45612	1752
963	45662	1705
964	45709	1657
965	45755	1610
966	45801	1563
967	45844	1515
968	45888	1468
969	45939	1420
970	45989	1373
971	46036	1326
972	46079	1278
973	46128	1231
974	46186	1184
975	46250	1137
976	46287	1089
977	46330	1042
978	46362	994
979	46404	947
980	46449	899
981	46501	852
982	46538	804
983	46582	757
984	46620	709
985	46656	662
986	46702	615
987	46750	567
988	46793	520
989	46834	473
990	46876	425
991	46926	378
992	46982	331
993	47034	283
994	47096	236
995	47149	189
996	47203	142
997	47265	94
998	47333	47
999	47399	0
