iter	RMSE
164	1.158759949
165	1.157806167
166	1.157074798
167	1.155658503
168	1.154974948
169	1.154117302
170	1.152172248
171	1.151104622
172	1.149443473
173	1.148299966
174	1.146674807
175	1.145579198
176	1.140762466
177	1.139708963
178	1.138485768
179	1.136967208
180	1.136059325
181	1.134900415
182	1.134383984
183	1.133671741
184	1.13173722
185	1.130999507
186	1.129575676
187	1.128865036
188	1.124134156
189	1.122932915
190	1.121908048
191	1.121060347
192	1.120198256
193	1.119365709
194	1.117990388
195	1.11730563
196	1.116051227
197	1.114218461
198	1.113428728
199	1.112255199
200	1.10771618
201	1.107403033
202	1.106723578
203	1.106057365
204	1.105334938
205	1.10457772
206	1.104016881
207	1.102634005
208	1.101482023
209	1.100861124
210	1.100336787
211	1.099974457
212	1.097037002
213	1.095976882
214	1.091892259
215	1.087974215
216	1.08763362
217	1.087055321
218	1.086153807
219	1.08469984
220	1.083663737
221	1.082759347
222	1.081701394
223	1.081248352
224	1.080340896
225	1.079789453
226	1.079344042
227	1.078180423
228	1.077569924
229	1.07692913
230	1.07599086
231	1.075174513
232	1.074451383
233	1.073862763
234	1.073652311
235	1.072717784
236	1.071936411
237	1.071471889
238	1.071081957
239	1.070238609
240	1.069269696
241	1.068457314
242	1.067869278
243	1.067492993
244	1.06678271
245	1.065588925
246	1.064249382
247	1.063359856
248	1.061969176
249	1.058238986
250	1.057111712
251	1.05673143
252	1.056335463
253	1.056014244
254	1.055261143
255	1.053943894
256	1.053241668
257	1.052658244
258	1.051700674
259	1.050717735
260	1.05031757
261	1.049652329
262	1.048905763
263	1.048234638
264	1.046787201
265	1.045792098
266	1.045574016
267	1.045120525
268	1.044451377
269	1.044155843
270	1.043430851
271	1.042852427
272	1.042194624
273	1.041342345
274	1.039641485
275	1.038576141
276	1.037706635
277	1.03641339
278	1.035945618
279	1.03556408
280	1.034721222
281	1.031082227
282	1.030447839
283	1.029611937
284	1.029288507
285	1.028572123
286	1.027701205
287	1.027220372
288	1.026493038
289	1.026088275
290	1.025455022
291	1.024119939
292	1.023653312
293	1.022771012
294	1.022233383
295	1.021328644
296	1.020505469
297	1.019822648
298	1.019347726
299	1.017811563
300	1.017257908
301	1.016728596
302	1.016205066
303	1.015628535
304	1.015368639
305	1.014966975
306	1.014513516
307	1.014012232
308	1.012815078
309	1.011409977
310	1.010922517
311	1.010445466
312	1.008063648
313	1.00706996
314	1.006677327
315	1.006215176
316	1.005615585
317	1.0045315
318	1.003610365
319	1.002800682
320	1.001913459
321	1.001426529
322	1.001097605
323	1.000847633
324	1.000294859
325	1.000119886
326	0.9992366143
327	0.9958653998
328	0.9952350488
329	0.9944806733
330	0.9940489263
331	0.9934939021
332	0.9926763364
333	0.9923501677
334	0.9918930969
335	0.9912573856
336	0.9908698226
337	0.987713183
338	0.9872826376
339	0.9843821988
340	0.9838416699
341	0.9830445993
342	0.9826496511
343	0.9819336371
344	0.9812191995
345	0.9803435615
346	0.9800128804
347	0.9796294599
348	0.9793941984
349	0.9790023051
350	0.9782011183
351	0.9775433034
352	0.9771516147
353	0.9766315225
354	0.9747711388
355	0.9743131213
356	0.9738253512
357	0.9727980912
358	0.9724883825
359	0.9719831978
360	0.9714555735
361	0.9708317185
362	0.970204033
363	0.9691726439
364	0.9688877282
365	0.9684036022
366	0.9680926441
367	0.967024525
368	0.9662203976
369	0.9659100368
370	0.9656722502
371	0.9646268652
372	0.9641308829
373	0.9630487208
374	0.9611146083
375	0.9606883458
376	0.9603622605
377	0.9599448062
378	0.9593802912
379	0.9591732098
380	0.9585878598
381	0.9573099899
382	0.9562240234
383	0.9558541453
384	0.9554526484
385	0.955139289
386	0.954797142
387	0.9543644277
388	0.9535525156
389	0.9531231612
390	0.9527006607
391	0.9522391835
392	0.9521018381
393	0.9514572674
394	0.9508676023
395	0.9501372601
396	0.949773905
397	0.9496300374
398	0.9489883
399	0.948287201
400	0.9479846242
401	0.9473007902
402	0.9467512836
403	0.9461690106
404	0.9457308332
405	0.9451684449
406	0.9425734173
407	0.9424853968
408	0.94187527
409	0.9412409237
410	0.9408497503
411	0.9405625805
412	0.9401844364
413	0.9397321016
414	0.9395746113
415	0.9391326447
416	0.9386830674
417	0.9383041732
418	0.937922608
419	0.9375945682
420	0.9373084268
421	0.9364888667
422	0.9361796287
423	0.93560266
424	0.9353219579
425	0.9344818159
426	0.9341033059
427	0.9338085898
428	0.9336360476
429	0.9332710987
430	0.9329243064
431	0.9325176642
432	0.932265498
433	0.9318246373
434	0.9313991994
435	0.9309465949
436	0.930525836
437	0.9301452209
438	0.9296877691
439	0.9292743192
440	0.9289633923
441	0.9286757888
442	0.9284093047
443	0.928161989
444	0.9278585485
445	0.9276427638
446	0.9274254616
447	0.9266730113
448	0.9262489535
449	0.9256034482
450	0.925199752
451	0.9250046102
452	0.9247459831
453	0.9240956523
454	0.9239463757
455	0.9226358218
456	0.9222188202
457	0.9219158735
458	0.9215735269
459	0.9211563395
460	0.9210273852
461	0.9205253068
462	0.9203016331
463	0.9200073826
464	0.9195992124
465	0.9191808744
466	0.9189540323
467	0.9186839566
468	0.9183933693
469	0.9181585329
470	0.9177860248
471	0.9174470874
472	0.9172429538
473	0.9169313055
474	0.9160963554
475	0.9155775661
476	0.9150139346
477	0.9140066347
478	0.9130534431
479	0.9128378099
480	0.9124461404
481	0.9122723001
482	0.9121108819
483	0.9119100793
484	0.9117688671
485	0.9116175057
486	0.9111664305
487	0.9105466073
488	0.9100609738
489	0.9098049438
490	0.9096412409
491	0.9092979634
492	0.9089915476
493	0.9087282255
494	0.9083795403
495	0.9080596335
496	0.9077476808
497	0.9073873273
498	0.9068544748
499	0.9061690982
500	0.9058826468
501	0.9054740456
502	0.9052481783
503	0.90477598
504	0.9042240679
505	0.9038661769
506	0.9037975052
507	0.9036016344
508	0.9031700135
509	0.9029630811
510	0.9025259437
511	0.9024612749
512	0.902194849
513	0.9017269561
514	0.90137602
515	0.9002718056
516	0.9001433896
517	0.8998791735
518	0.8995567223
519	0.8986089023
520	0.8982793609
521	0.8979060825
522	0.8971932407
523	0.8970244339
524	0.8965034188
525	0.8962881644
526	0.895848615
527	0.8956171076
528	0.8953696927
529	0.8949841768
530	0.894609257
531	0.8943870293
532	0.894148429
533	0.8936958631
534	0.8923808615
535	0.89152287
536	0.8907661846
537	0.8903519394
538	0.8899375625
539	0.889380529
540	0.8888352301
541	0.8886039561
542	0.8882815986
543	0.8876570682
544	0.8874941689
545	0.8872807205
546	0.8870859695
547	0.8869468997
548	0.88666476
549	0.8862363698
550	0.8857125161
551	0.8855470308
552	0.8851402811
553	0.8849111376
554	0.8847529434
555	0.8845284801
556	0.8843299086
557	0.8842564925
558	0.8841948537
559	0.8841369721
560	0.8838711311
561	0.8834231955
562	0.8833165973
563	0.8831314677
564	0.8828878744
565	0.8825963232
566	0.882251616
567	0.8818616133
568	0.8815056244
569	0.8813368657
570	0.8811284203
571	0.8808567482
572	0.8803880529
573	0.8802634153
574	0.8795046336
575	0.8792581656
576	0.8791471976
577	0.8786213549
578	0.8782944089
579	0.878036105
580	0.8777298319
581	0.877512246
582	0.877314252
583	0.8771431782
584	0.8765192569
585	0.87612103
586	0.8757003755
587	0.8755222736
588	0.8752394562
589	0.8748125357
590	0.8745348466
591	0.8743050938
592	0.8739748419
593	0.8738677673
594	0.8729035717
595	0.8724379581
596	0.8720461395
597	0.8716508124
598	0.8713681609
599	0.8711953568
600	0.8708339174
601	0.8707798123
602	0.8696342303
603	0.8693980975
604	0.8692067382
605	0.8689366079
606	0.8687165437
607	0.8685020004
608	0.8681833347
609	0.8680303974
610	0.8678845097
611	0.8678314011
612	0.8677814631
613	0.8677344927
614	0.8676331639
615	0.8653668162
616	0.8651288448
617	0.8647677264
618	0.8644251503
619	0.8641652394
620	0.8639718748
621	0.8637500939
622	0.8636453009
623	0.8633307614
624	0.8630542387
625	0.8628441399
626	0.862516716
627	0.861282952
628	0.8610363418
629	0.8606156967
630	0.8600245058
631	0.8591808345
632	0.8586826635
633	0.8583756869
634	0.8580692122
635	0.8574016428
636	0.8572545131
637	0.8570924765
638	0.8567171309
639	0.8563810049
640	0.8559507777
641	0.8557281981
642	0.8551239144
643	0.8549656244
644	0.8548377088
645	0.8547453795
646	0.8545990358
647	0.8543172118
648	0.8541621924
649	0.8541075911
650	0.853870817
651	0.8536329954
652	0.8533457149
653	0.8529713198
654	0.8527473917
655	0.8523910505
656	0.8522363754
657	0.851953961
658	0.8518325683
659	0.8516360468
660	0.8514872528
661	0.8512778065
662	0.8511460395
663	0.8506421745
664	0.8505145783
665	0.8501489954
666	0.8499178975
667	0.849540396
668	0.8492953489
669	0.8486868997
670	0.8485254376
671	0.8483196532
672	0.8481324077
673	0.8478007078
674	0.8474508229
675	0.8466903719
676	0.8460360009
677	0.8455012998
678	0.8450573466
679	0.8449598783
680	0.8448058423
681	0.8445503583
682	0.8441951995
683	0.8436820318
684	0.8434877412
685	0.8423104012
686	0.8421344651
687	0.8420282643
688	0.8419353962
689	0.8399177662
690	0.8396962173
691	0.8395527474
692	0.8394236227
693	0.8388556686
694	0.8387344278
695	0.8383442074
696	0.8381215006
697	0.8379430036
698	0.8378280686
699	0.8376457085
700	0.837395794
701	0.8372678758
702	0.8369198841
703	0.8366021354
704	0.8364792441
705	0.8363672501
706	0.8360625095
707	0.8359641592
708	0.8357773348
709	0.8356298525
710	0.835262803
711	0.8351713865
712	0.8350837051
713	0.8348573633
714	0.8347795861
715	0.8344352994
716	0.8339910621
717	0.8337041937
718	0.8335443315
719	0.8329948096
720	0.8326262965
721	0.8324330293
722	0.8323502522
723	0.8322902723
724	0.8319929123
725	0.8316385518
726	0.8310582011
727	0.8309798402
728	0.8307499972
729	0.8304453861
730	0.8301201264
731	0.8299135959
732	0.8296637645
733	0.8294979421
734	0.8292379377
735	0.8286053181
736	0.8284874538
737	0.8283887675
738	0.8281708879
739	0.8280432783
740	0.8278219722
741	0.8276445231
742	0.8273996505
743	0.827239899
744	0.8270377542
745	0.8265162846
746	0.8261682643
747	0.825918211
748	0.823827959
749	0.8232771112
750	0.8230999006
751	0.8229673067
752	0.8224076439
753	0.8221934928
754	0.8220424046
755	0.8218629084
756	0.8214022558
757	0.8212797759
758	0.8210415562
759	0.8208122705
760	0.8207194006
761	0.8205218805
762	0.8194820833
763	0.8191199554
764	0.8189149721
765	0.8188431992
766	0.818674231
767	0.8186015985
768	0.8183919965
769	0.8179258045
770	0.8174978062
771	0.8174004877
772	0.817232398
773	0.8169247417
774	0.8166903713
775	0.8165591359
776	0.8163024939
777	0.8161512372
778	0.8157876131
779	0.8154365727
780	0.8152399982
781	0.8148229633
782	0.8146464986
783	0.8144743105
784	0.8140211206
785	0.8138625751
786	0.8137200951
787	0.8127961727
788	0.8127269168
789	0.8124553634
790	0.8121926993
791	0.8119663728
792	0.8117420581
793	0.8116777079
794	0.811477319
795	0.8114295377
796	0.8113470845
797	0.8112141148
798	0.8107945589
799	0.8104100153
800	0.8102543197
801	0.8099777851
802	0.8098368191
803	0.809667945
804	0.8092629946
805	0.8090932138
806	0.808982818
807	0.8088257607
808	0.8085071174
809	0.8083581258
810	0.8082416108
811	0.8080864006
812	0.8080022793
813	0.8078040743
814	0.8076719258
815	0.8074651826
816	0.8056274815
817	0.8054609478
818	0.8051283568
819	0.8047520722
820	0.8045691285
821	0.8043582031
822	0.8042154403
823	0.8040415689
824	0.8038314401
825	0.8036666785
826	0.8035159683
827	0.8031963946
828	0.8028378246
829	0.8025958433
830	0.8024050152
831	0.8022013632
832	0.8019789648
833	0.8009477506
834	0.8008820917
835	0.8007131296
836	0.8006166278
837	0.8003212936
838	0.7988007953
839	0.7987586668
840	0.79859524
841	0.7984102238
842	0.7983001818
843	0.7981250425
844	0.7979260902
845	0.7976543781
846	0.7974988593
847	0.7973996897
848	0.7970528037
849	0.7968056296
850	0.7959098778
851	0.795835027
852	0.7957663613
853	0.7955459552
854	0.7954847353
855	0.7953686948
856	0.7952987375
857	0.7952508908
858	0.7952068142
859	0.7951241746
860	0.7949745921
861	0.7948429273
862	0.7948039384
863	0.7934155895
864	0.7931537349
865	0.7930021284
866	0.7914233719
867	0.7912896012
868	0.7911513644
869	0.7902856165
870	0.789881485
871	0.7894765149
872	0.789314162
873	0.7887645547
874	0.7886049889
875	0.78848552
876	0.7884042186
877	0.7882800768
878	0.7880031833
879	0.7877793499
880	0.787638387
881	0.7875050904
882	0.7874195387
883	0.7870237631
884	0.7867433309
885	0.7865351003
886	0.7862689023
887	0.7860806118
888	0.7858097175
889	0.7856883215
890	0.7855244633
891	0.7852826873
892	0.7850083066
893	0.7848701155
894	0.7846809385
895	0.7845122016
896	0.7844150605
897	0.7842633359
898	0.7841352745
899	0.7839209143
900	0.7838039347
901	0.7836924948
902	0.7836217513
903	0.7834087882
904	0.7833289043
905	0.7831590977
906	0.7830025776
907	0.78279572
908	0.7825521397
909	0.7824161253
910	0.7822395565
911	0.782147366
912	0.7808921275
913	0.7797167751
914	0.7796338608
915	0.7793966961
916	0.7791988518
917	0.7790083902
918	0.7788937102
919	0.7785990884
920	0.7785672523
921	0.7784621204
922	0.7782391827
923	0.7781346726
924	0.7775505694
925	0.7764091095
926	0.7761671593
927	0.7759745788
928	0.7759207947
929	0.7756990885
930	0.7755865229
931	0.7752546003
932	0.774938893
933	0.7744899078
934	0.7744111007
935	0.7742528596
936	0.7741028731
937	0.7740150332
938	0.7739360223
939	0.7737684409
940	0.773414907
941	0.7733541274
942	0.7732275077
943	0.7731084288
944	0.7730469521
945	0.7727239622
946	0.7725957678
947	0.7724582501
948	0.7722106051
949	0.7720941962
950	0.7720031997
951	0.7719331927
952	0.7717283238
953	0.7715748963
954	0.7714245754
955	0.7712856063
956	0.7711638172
957	0.7709885454
958	0.7707469447
959	0.7704355535
960	0.7698824022
961	0.7697380718
962	0.7696237447
963	0.769504819
964	0.7693431009
965	0.7691727498
966	0.769100702
967	0.7690351041
968	0.7687845702
969	0.7686879412
970	0.7684787859
971	0.7682021635
972	0.7681212779
973	0.7680206529
974	0.7678589765
975	0.7677197584
976	0.7675627696
977	0.7673423714
978	0.7672390865
979	0.7669968961
980	0.7667834141
981	0.7666771412
982	0.7665202449
983	0.7663555772
984	0.7662513321
985	0.7659151414
986	0.7656737761
987	0.7654816446
988	0.7653682839
989	0.7652285998
990	0.7651527413
991	0.7650487634
992	0.7647592758
993	0.7644911239
994	0.7642709296
995	0.7640676725
996	0.763845162
997	0.7636242356
998	0.7634916051
999	0.7633494614
